Seed,True_Var_Def,False_Var_Def,VAF_Upper_Limit,Feature_Category,Num_True_Var_Testing,Num_False_Var_Testing,TP,FP,TN,FN,AUC,MCC,F1_score,Accuracy,MSE
878,[1],"[0.33, 0.67]",0.6,Exhaustive,138,1245,96,271,974,42,0.7389907455910598,0.324,0.38,0.774,0.226
878,"[1, 0.67]",[0.33],0.6,Exhaustive,316,1067,199,304,763,117,0.6724179350598507,0.301,0.486,0.696,0.304
878,[1],[0.33],0.5,Moderate,152,1063,117,231,832,35,0.7762136703470813,0.404,0.468,0.781,0.219
878,[1],"[0.33, 0.67]",0.5,Moderate,133,1246,106,267,979,27,0.7913533834586466,0.387,0.419,0.787,0.213
878,"[1, 0.67]",[0.33],0.5,Moderate,306,1073,193,305,768,113,0.6732345936199893,0.3,0.48,0.697,0.303
878,[1],[0.33],0.5,Strict,152,1063,113,222,841,39,0.7672890775857801,0.396,0.464,0.785,0.215
878,[1],"[0.33, 0.67]",0.5,Strict,133,1246,109,270,976,24,0.8014277266199206,0.399,0.426,0.787,0.213
878,"[1, 0.67]",[0.33],0.5,Strict,306,1073,195,294,779,111,0.6816283829468415,0.316,0.491,0.706,0.294
878,[1],[0.33],0.5,Exhaustive,152,1063,117,222,841,35,0.7804469723226223,0.414,0.477,0.788,0.212
878,[1],"[0.33, 0.67]",0.5,Exhaustive,133,1246,107,269,977,26,0.7943102137365886,0.39,0.42,0.786,0.214
878,"[1, 0.67]",[0.33],0.5,Exhaustive,306,1073,192,313,760,114,0.6678727408950533,0.29,0.473,0.69,0.31
76,[1],[0.33],0.6,Moderate,148,1070,119,226,844,29,0.796419550391513,0.43,0.483,0.791,0.209
76,[1],"[0.33, 0.67]",0.6,Moderate,144,1239,110,247,992,34,0.7822672854452516,0.394,0.439,0.797,0.203
76,"[1, 0.67]",[0.33],0.6,Moderate,312,1071,199,284,787,113,0.6863238885297709,0.327,0.501,0.713,0.287
76,[1],[0.33],0.6,Strict,148,1070,122,230,840,26,0.8046855266481434,0.439,0.488,0.79,0.21
76,[1],"[0.33, 0.67]",0.6,Strict,144,1239,109,257,982,35,0.7747595507129406,0.38,0.427,0.789,0.211
76,"[1, 0.67]",[0.33],0.6,Strict,312,1071,193,296,775,119,0.6711062630180277,0.299,0.482,0.7,0.3
76,[1],[0.33],0.6,Exhaustive,148,1070,118,218,852,30,0.796779489770144,0.434,0.488,0.796,0.204
76,[1],"[0.33, 0.67]",0.6,Exhaustive,144,1239,107,256,983,37,0.768218657519505,0.372,0.422,0.788,0.212
76,"[1, 0.67]",[0.33],0.6,Exhaustive,312,1071,196,272,799,116,0.6871184371184371,0.331,0.503,0.719,0.281
76,[1],[0.33],0.5,Moderate,143,1072,111,217,855,32,0.7868992015447238,0.417,0.471,0.795,0.205
76,[1],"[0.33, 0.67]",0.5,Moderate,127,1252,99,254,998,28,0.7883260798470477,0.382,0.412,0.796,0.204
76,"[1, 0.67]",[0.33],0.5,Moderate,296,1083,189,289,794,107,0.6858310873200071,0.321,0.488,0.713,0.287
76,[1],[0.33],0.5,Strict,143,1072,109,220,852,34,0.7785069408203735,0.404,0.462,0.791,0.209
76,[1],"[0.33, 0.67]",0.5,Strict,127,1252,98,267,985,29,0.7791973786822972,0.366,0.398,0.785,0.215
76,"[1, 0.67]",[0.33],0.5,Strict,296,1083,186,307,776,110,0.6724532704449603,0.295,0.471,0.698,0.302
76,[1],[0.33],0.5,Exhaustive,143,1072,112,206,866,31,0.7955263020561529,0.433,0.486,0.805,0.195
76,[1],"[0.33, 0.67]",0.5,Exhaustive,127,1252,100,267,985,27,0.7870713944303288,0.376,0.405,0.787,0.213
76,"[1, 0.67]",[0.33],0.5,Exhaustive,296,1083,186,296,787,110,0.6775317561328641,0.306,0.478,0.706,0.294
187,[1],[0.33],0.6,Moderate,146,1072,110,223,849,36,0.7727011347372725,0.397,0.459,0.787,0.213
187,[1],"[0.33, 0.67]",0.6,Moderate,158,1225,125,279,946,33,0.7816920692327564,0.394,0.445,0.774,0.226
187,"[1, 0.67]",[0.33],0.6,Moderate,327,1056,211,292,764,116,0.6843723936613846,0.326,0.508,0.705,0.295
187,[1],[0.33],0.6,Strict,146,1072,107,219,853,39,0.764292833776324,0.388,0.453,0.788,0.212
187,[1],"[0.33, 0.67]",0.6,Strict,158,1225,125,268,957,33,0.7861818651511238,0.404,0.454,0.782,0.218
187,"[1, 0.67]",[0.33],0.6,Strict,327,1056,214,304,752,113,0.6832777314428691,0.322,0.507,0.698,0.302
187,[1],[0.33],0.6,Exhaustive,146,1072,105,223,849,41,0.7555778470660396,0.374,0.443,0.783,0.217
187,[1],"[0.33, 0.67]",0.6,Exhaustive,158,1225,124,264,961,34,0.7846499612503228,0.403,0.454,0.785,0.215
187,"[1, 0.67]",[0.33],0.6,Exhaustive,327,1056,208,291,765,119,0.6802587225465665,0.319,0.504,0.704,0.296
187,[1],[0.33],0.5,Moderate,138,1077,107,219,858,31,0.7860098502280892,0.41,0.461,0.794,0.206
187,[1],"[0.33, 0.67]",0.5,Moderate,138,1241,112,283,958,26,0.7917761506031835,0.387,0.42,0.776,0.224
187,"[1, 0.67]",[0.33],0.5,Moderate,306,1073,211,317,756,95,0.6970545596306246,0.337,0.506,0.701,0.299
187,[1],[0.33],0.5,Strict,138,1077,108,206,871,30,0.795668321827944,0.429,0.478,0.806,0.194
187,[1],"[0.33, 0.67]",0.5,Strict,138,1241,112,292,949,26,0.788150042625746,0.38,0.413,0.769,0.231
187,"[1, 0.67]",[0.33],0.5,Strict,306,1073,213,321,752,93,0.698458600588418,0.339,0.507,0.7,0.3
187,[1],[0.33],0.5,Exhaustive,138,1077,107,225,852,31,0.783224334907755,0.403,0.455,0.789,0.211
187,[1],"[0.33, 0.67]",0.5,Exhaustive,138,1241,112,276,965,26,0.7945964568078572,0.393,0.426,0.781,0.219
187,"[1, 0.67]",[0.33],0.5,Exhaustive,306,1073,211,318,755,95,0.6965885764060206,0.336,0.505,0.701,0.299
299,[1],[0.33],0.6,Moderate,146,1072,120,214,858,26,0.8111454712737681,0.453,0.5,0.803,0.197
299,[1],"[0.33, 0.67]",0.6,Moderate,138,1245,110,280,965,28,0.7861009254408939,0.381,0.417,0.777,0.223
299,"[1, 0.67]",[0.33],0.6,Moderate,307,1076,194,282,794,113,0.6849200198588087,0.324,0.496,0.714,0.286
299,[1],[0.33],0.6,Strict,146,1072,116,200,872,30,0.8039766918830505,0.451,0.502,0.811,0.189
299,[1],"[0.33, 0.67]",0.6,Strict,138,1245,107,275,970,31,0.7772393923520168,0.372,0.412,0.779,0.221
299,"[1, 0.67]",[0.33],0.6,Strict,307,1076,196,308,768,111,0.6760955644624196,0.304,0.483,0.697,0.303
299,[1],[0.33],0.6,Exhaustive,146,1072,118,213,859,28,0.8047625741157228,0.445,0.495,0.802,0.198
299,[1],"[0.33, 0.67]",0.6,Exhaustive,138,1245,104,278,967,34,0.7651650078575171,0.355,0.4,0.774,0.226
299,"[1, 0.67]",[0.33],0.6,Exhaustive,307,1076,193,278,798,114,0.6851500914231743,0.325,0.496,0.717,0.283
299,[1],[0.33],0.5,Moderate,137,1078,110,190,888,27,0.8133336944598677,0.46,0.503,0.821,0.179
299,[1],"[0.33, 0.67]",0.5,Moderate,155,1224,122,260,964,33,0.7873392367699767,0.406,0.454,0.788,0.212
299,"[1, 0.67]",[0.33],0.5,Moderate,311,1068,204,287,781,107,0.6936109806471814,0.338,0.509,0.714,0.286
299,[1],[0.33],0.5,Strict,137,1078,112,206,872,25,0.813211814254567,0.451,0.492,0.81,0.19
299,[1],"[0.33, 0.67]",0.5,Strict,155,1224,123,261,963,32,0.7901565464895635,0.409,0.456,0.788,0.212
299,"[1, 0.67]",[0.33],0.5,Strict,311,1068,197,307,761,114,0.6729936654744271,0.3,0.483,0.695,0.305
299,[1],[0.33],0.5,Exhaustive,137,1078,112,206,872,25,0.813211814254567,0.451,0.492,0.81,0.19
299,[1],"[0.33, 0.67]",0.5,Exhaustive,155,1224,123,266,958,32,0.7881140628294327,0.404,0.452,0.784,0.216
299,"[1, 0.67]",[0.33],0.5,Exhaustive,311,1068,197,287,781,114,0.6823569613545769,0.319,0.496,0.709,0.291
