Seed,True_Var_Def,False_Var_Def,VAF_Lower_Limit,VAF_Upper_Limit,Feature_Category,Num_True_Var_Testing,Num_False_Var_Testing,TP,FP,TN,FN,AUC,MCC,F1_score,Accuracy,MSE
3247,"[1, 0.67]",[0.33],0.05,0.6,Strict,156,301,107,115,186,49,0.6519188176164921,0.288,0.566,0.641,0.359
3247,[1],[0.33],0.05,0.6,Exhaustive,79,314,57,82,232,22,0.7301862452632428,0.386,0.523,0.735,0.265
3247,[1],"[0.33, 0.67]",0.05,0.6,Exhaustive,85,372,68,127,245,17,0.7293010752688174,0.361,0.486,0.685,0.315
3247,"[1, 0.67]",[0.33],0.05,0.6,Exhaustive,156,301,101,109,192,55,0.6426548257943605,0.271,0.552,0.641,0.359
3247,[1],[0.33],0.05,0.5,Moderate,72,318,58,89,229,14,0.7628406708595387,0.421,0.53,0.736,0.264
3247,[1],"[0.33, 0.67]",0.05,0.5,Moderate,80,373,60,123,250,20,0.7101206434316354,0.327,0.456,0.684,0.316
3247,"[1, 0.67]",[0.33],0.05,0.5,Moderate,151,302,105,124,178,46,0.6423841059602649,0.268,0.553,0.625,0.375
3247,[1],[0.33],0.05,0.5,Strict,72,318,54,94,224,18,0.7272012578616354,0.363,0.491,0.713,0.287
3247,[1],"[0.33, 0.67]",0.05,0.5,Strict,80,373,60,126,247,20,0.7060991957104558,0.32,0.451,0.678,0.322
3247,"[1, 0.67]",[0.33],0.05,0.5,Strict,151,302,102,116,186,49,0.6456953642384106,0.275,0.553,0.636,0.364
3247,[1],[0.33],0.05,0.5,Exhaustive,72,318,54,87,231,18,0.7382075471698113,0.385,0.507,0.731,0.269
3247,[1],"[0.33, 0.67]",0.05,0.5,Exhaustive,80,373,61,131,242,19,0.7056467828418229,0.317,0.449,0.669,0.331
3247,"[1, 0.67]",[0.33],0.05,0.5,Exhaustive,151,302,105,117,185,46,0.6539735099337748,0.29,0.563,0.64,0.36
3247,[1],[0.33],0.1,0.6,Moderate,38,75,27,28,47,11,0.6685964912280702,0.319,0.581,0.655,0.345
3247,[1],"[0.33, 0.67]",0.1,0.6,Moderate,42,91,32,34,57,10,0.6941391941391941,0.361,0.593,0.669,0.331
3247,"[1, 0.67]",[0.33],0.1,0.6,Moderate,67,66,45,27,39,22,0.6312754409769334,0.263,0.647,0.632,0.368
3247,[1],[0.33],0.1,0.6,Strict,38,75,28,29,46,10,0.6750877192982456,0.331,0.589,0.655,0.345
3247,[1],"[0.33, 0.67]",0.1,0.6,Strict,42,91,33,37,54,9,0.6895604395604396,0.353,0.589,0.654,0.346
3247,"[1, 0.67]",[0.33],0.1,0.6,Strict,67,66,42,29,37,25,0.5937358661239258,0.188,0.609,0.594,0.406
3247,[1],[0.33],0.1,0.6,Exhaustive,38,75,27,25,50,11,0.6885964912280703,0.358,0.6,0.681,0.319
3247,[1],"[0.33, 0.67]",0.1,0.6,Exhaustive,42,91,32,37,54,10,0.6776556776556777,0.331,0.577,0.647,0.353
